שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה
בוכרים,מקלט ציבורי מספר 609,ישא ברכה 23,250,מקלט,,200,"עיריית ירושלים, אגף חירום וביטחון",31.79229011,35.2176755,"ישא ברכה 23, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי"
בוכרים,מקלט ציבורי מספר 611 - מקלט נגיש,בן ציון גול 11,150,מחסה - הכי מוגן שיש,מקלט נגיש,120,"עיריית ירושלים, אגף חירום וביטחון",31.79316116,35.22088474,"בן ציון גול 11, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי, מקלט נגיש"
בוכרים,מקלט ציבורי מספר 612,יואל 16,50,מקלט,,40,חסידות קרלין,31.78987955,35.22089024,"יואל 16, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי"
בוכרים,מקלט ציבורי מספר 910,עובדיה 22,100,מקלט,,80,בית ברכה - שייך לחסידות קרלין,31.79171933,35.21486308,"עובדיה 22, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי"
בית הכרם,מקלט ציבורי מספר 744,הבנאי 4,170,מקלט,,136,"עיריית ירושלים, אגף חירום וביטחון",31.77512976,35.19041839,"הבנאי 4, ירושלים",,,"בית הכרם, מקלט ציבורי"
בית הכרם,מקלט ציבורי מספר 745,הבנאי 30,170​,מקלט,,136,"עיריית ירושלים, אגף חירום וביטחון",31.7775352,35.1922193,"הבנאי 30, ירושלים",,,"בית הכרם, מקלט ציבורי"
בית וגן,מקלט ציבורי מספר 742,שערי תורה 7,270,מקלט,,216,"עיריית ירושלים, אגף חירום וביטחון",31.76591212,35.18298046,"שערי תורה 7, ירושלים",,,"בית וגן, מקלט ציבורי"
בית וגן,מקלט ציבורי מספר 743,בית וגן 39,115​,מקלט,,92,"עיריית ירושלים, אגף חירום וביטחון",31.76926455,35.18451955,"בית וגן 39, ירושלים",בית וגן - 60,בית וגן,"בית וגן, מקלט ציבורי"
בית ישראל,​מקלט ציבורי מספר 908,שמשון פולנסקי 22,100,מקלט,,80,מינהל קהילתי בוכרים,31.79208743,35.2232357,"שמשון פולנסקי 22, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי"
בית ישראל,מקלט ציבורי מספר 841,יואל 25,100​,מקלט,,80,בית כנסת מוסיוף,31.79120318,35.22139609,"יואל 25, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי"
